"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.599796740E-1,-1.174625301E1,-6.567594528E0,1.723825216E0,1.356758384E1
5.619957850E-1,-1.188751030E1,-6.656179905E0,1.800439715E0,1.374260584E1
5.640116850E-1,-1.193060589E1,-6.653785706E0,1.783680320E0,1.377656476E1
5.660273210E-1,-1.194497108E1,-6.419154167E0,1.637633920E0,1.365905265E1
5.680427370E-1,-1.196412563E1,-5.940313816E0,1.455674648E0,1.343676371E1
5.700580440E-1,-1.207665253E1,-5.667374611E0,1.367089152E0,1.341020522E1
5.720731860E-1,-1.216284370E1,-5.229235649E0,1.101332784E0,1.328505199E1
5.740881860E-1,-1.232804394E1,-4.927566528E0,6.440402865E-1,1.329196626E1
5.761031230E-1,-1.240705204E1,-4.623203278E0,-2.633621916E-2,1.324045477E1
5.781180050E-1,-1.240465832E1,-4.441244125E0,-3.902548850E-1,1.318152101E1
5.801326160E-1,-1.233522606E1,-4.031835556E0,-1.110909581E0,1.302488464E1
5.821470890E-1,-1.221072769E1,-3.641580820E0,-1.802833915E0,1.286907890E1
5.841614390E-1,-1.215805531E1,-3.483563423E0,-2.114080191E0,1.282274768E1
5.861757240E-1,-1.207904720E1,-3.193865061E0,-2.643198729E0,1.277069516E1
5.881899960E-1,-1.202158642E1,-2.983175278E0,-3.043030262E0,1.275452500E1
5.902042130E-1,-1.202158642E1,-2.896984100E0,-3.191470861E0,1.277092570E1
5.922183790E-1,-1.204074001E1,-2.813186884E0,-3.426102638E0,1.283088539E1
5.942324990E-1,-1.205271053E1,-2.822763920E0,-3.586514235E0,1.288793667E1
5.962465750E-1,-1.205749893E1,-2.865859509E0,-3.653551817E0,1.292071484E1
5.982606120E-1,-1.208862400E1,-2.980781078E0,-3.766079187E0,1.300781452E1
6.002745760E-1,-1.210059452E1,-3.148375273E0,-3.840299606E0,1.307992950E1
6.022884380E-1,-1.210777760E1,-3.339911461E0,-3.909731388E0,1.315443980E1
6.043022710E-1,-1.208383560E1,-3.430891037E0,-3.926490784E0,1.316082923E1
6.063161040E-1,-1.206947041E1,-3.564966440E0,-3.931279182E0,1.318469027E1
6.083299370E-1,-1.206468201E1,-3.658340216E0,-3.936067581E0,1.320729469E1
6.103437700E-1,-1.204552841E1,-3.699041605E0,-3.921702385E0,1.319687134E1
6.123576030E-1,-1.199285603E1,-3.761290789E0,-3.895366192E0,1.315863906E1
6.143714030E-1,-1.187075138E1,-3.828328609E0,-3.854664803E0,1.305485653E1
6.163852030E-1,-1.177977180E1,-3.842693806E0,-3.835511208E0,1.297075424E1
6.183990030E-1,-1.150683308E1,-3.938461781E0,-3.799597979E0,1.274188500E1
6.204139030E-1,-1.143500614E1,-3.979163170E0,-3.794809580E0,1.268832868E1
6.224269030E-1,-1.135599804E1,-4.031835556E0,-3.818751812E0,1.264109389E1
6.244399030E-1,-1.127220058E1,-4.161122322E0,-3.912125587E0,1.263654113E1
6.264529030E-1,-1.129374886E1,-4.326322556E0,-4.101267338E0,1.277052167E1
6.284659030E-1,-1.138712215E1,-4.529829502E0,-4.410119534E0,1.302440250E1
6.304788690E-1,-1.143740082E1,-4.642356873E0,-4.604049683E0,1.317432686E1
6.324918690E-1,-1.151640987E1,-4.865017891E0,-5.078401089E0,1.349393394E1
6.345048020E-1,-1.149725628E1,-5.056853294E0,-5.631461620E0,1.376488384E1
6.365177350E-1,-1.147331429E1,-5.133467674E0,-5.916371822E0,1.389218797E1
6.385306350E-1,-1.135360336E1,-5.255571842E0,-6.455067158E0,1.407811197E1
6.405436350E-1,-1.114770222E1,-5.392041683E0,-6.926724911E0,1.418890046E1
6.425566680E-1,-1.102799225E1,-5.480627060E0,-7.108684063E0,1.421925719E1
6.445697340E-1,-1.078617764E1,-5.696105003E0,-7.400776863E0,1.426740125E1
6.465828340E-1,-1.059224796E1,-5.945102215E0,-7.556399822E0,1.430521358E1
6.485959340E-1,-1.050845051E1,-6.091148376E0,-7.601889610E0,1.432893388E1
6.506090000E-1,-1.029057789E1,-6.411971569E0,-7.573159218E0,1.429552773E1
6.526221000E-1,-1.000566864E1,-6.797437668E0,-7.446266651E0,1.420441660E1
6.546352660E-1,-9.613018990E0,-7.024887085E0,-7.204452038E0,1.391629627E1
6.566484320E-1,-9.375992775E0,-7.460631847E0,-7.079953671E0,1.391747147E1
6.586616320E-1,-8.825326920E0,-7.913136005E0,-6.826168537E0,1.367847556E1
6.606748320E-1,-8.157344818E0,-8.391976357E0,-6.555623531E0,1.341431107E1
6.626880980E-1,-7.776666164E0,-8.629002571E0,-6.402394772E0,1.326374309E1
6.647021310E-1,-6.996156693E0,-9.074323654E0,-5.983409405E0,1.292635859E1
6.667153640E-1,-6.182127953E0,-9.478943825E0,-5.492598057E0,1.257925735E1
